depth,width,n_params,seed,final_train_acc,final_test_acc,final_train_loss,actual_epochs,flops_per_epoch,optimization_failure,loss_ep10,loss_ep20,loss_ep30,loss_ep60,regime,budget,fixed_w,corruption,param_err_pct
16,36,49762,123,0.7654,0.759,0.83638,120,960480000,False,1.47323,1.39263,1.32424,1.10222,iso_param,50000.0,,0.3,0.476
16,36,49762,7,0.7755,0.7521,0.79129,120,960480000,False,1.45437,1.36374,1.28028,1.07451,iso_param,50000.0,,0.3,0.476
16,36,49762,17,0.7764,0.7618,0.79102,120,960480000,False,1.44796,1.36801,1.33995,1.04752,iso_param,50000.0,,0.3,0.476
16,36,49762,99,0.7667,0.7576,0.82721,120,960480000,False,1.48555,1.3775,1.29794,1.09213,iso_param,50000.0,,0.3,0.476
16,36,49762,256,0.7725,0.7606,0.82057,120,960480000,False,1.48654,1.36902,1.30976,1.0807,iso_param,50000.0,,0.3,0.476
16,36,49762,42,0.5452,0.6252,1.45211,120,960480000,False,2.04435,1.97208,1.91321,1.73161,iso_param,50000.0,,0.6,0.476
16,36,49762,123,0.5723,0.5992,1.36022,120,960480000,False,2.02411,1.94431,1.9224,1.70934,iso_param,50000.0,,0.6,0.476
16,36,49762,7,0.5412,0.6476,1.4513,120,960480000,False,2.03345,1.96721,1.94824,1.73103,iso_param,50000.0,,0.6,0.476
16,36,49762,17,0.5513,0.649,1.39995,120,960480000,False,2.03688,1.95649,1.89794,1.71963,iso_param,50000.0,,0.6,0.476
16,36,49762,99,0.5462,0.6146,1.42545,120,960480000,False,2.02099,1.9546,1.92169,1.73359,iso_param,50000.0,,0.6,0.476
16,36,49762,256,0.5523,0.6359,1.40521,120,960480000,False,2.02725,1.96077,1.91022,1.7407,iso_param,50000.0,,0.6,0.476
16,36,49762,42,0.2533,0.1289,2.04728,120,960480000,False,2.30556,2.29398,2.29019,2.24271,iso_param,50000.0,,1.0,0.476
16,36,49762,123,0.2602,0.0959,2.05825,120,960480000,False,2.29868,2.29417,2.28972,2.24997,iso_param,50000.0,,1.0,0.476
16,36,49762,7,0.2514,0.0853,2.07781,120,960480000,False,2.29777,2.29153,2.28901,2.24905,iso_param,50000.0,,1.0,0.476
16,36,49762,99,0.2727,0.1173,2.02071,120,960480000,False,2.29948,2.29126,2.2853,2.23231,iso_param,50000.0,,1.0,0.476
2,109,99091,42,1.0,0.8551,0.00489,82,1968540000,False,0.26353,0.12286,0.07992,0.01573,iso_param,100000.0,,0.0,0.909
2,109,99091,123,1.0,0.8499,0.00487,82,1968540000,False,0.29497,0.13453,0.08328,0.0098,iso_param,100000.0,,0.0,0.909
2,109,99091,7,0.9975,0.8527,0.01226,72,1968540000,False,0.26014,0.12481,0.04547,0.02447,iso_param,100000.0,,0.0,0.909
2,109,99091,17,1.0,0.8519,0.00396,83,1968540000,False,0.21749,0.20026,0.06588,0.01744,iso_param,100000.0,,0.0,0.909
2,109,99091,99,0.9904,0.844,0.03594,51,1968540000,False,0.22813,0.14487,0.07359,,iso_param,100000.0,,0.0,0.909
2,109,99091,256,0.9848,0.8425,0.04885,42,1968540000,False,0.23056,0.16119,0.12648,,iso_param,100000.0,,0.0,0.909
2,109,99091,42,0.9999,0.8052,0.00896,107,1968540000,False,0.62011,0.4608,0.24388,0.05828,iso_param,100000.0,,0.1,0.909
2,109,99091,123,1.0,0.804,0.00818,107,1968540000,False,0.61572,0.46953,0.28843,0.04128,iso_param,100000.0,,0.1,0.909
